,0
0,-12.0
1,-19.0
2,1.0
3,5.0
4,-4.0
5,4.0
6,-4.0
7,-6.0
8,-35.0
9,-12.0
10,3.0
11,-1.0
12,-1.0
13,3.0
14,5.0
15,-5.0
16,2.0
17,-10.0
18,-5.0
19,4.0
20,2.0
21,6.0
22,-2.0
23,4.0
24,3.0
25,-4.0
26,-8.0
27,1.0
28,15.0
29,-2.0
30,-2.0
31,-8.0
32,8.0
33,12.0
34,-6.0
35,4.0
36,-2.0
37,18.0
38,-5.0
39,-8.0
40,3.0
41,-1.0
42,-5.0
43,4.0
44,-6.0
45,7.0
46,20.0
47,-22.0
48,0.0
49,5.0
50,-1.0
51,6.0
52,4.0
53,2.0
54,5.0
55,-1.0
56,-7.0
57,10.0
58,4.0
59,2.0
60,1.0
61,-2.0
62,1.0
63,8.0
64,2.0
65,4.0
66,1.0
67,-3.0
68,-5.0
69,-20.0
70,3.0
71,-5.0
72,-10.0
73,-11.0
74,5.0
75,-11.0
76,1.0
77,0.0
78,1.0
79,6.0
80,3.0
81,-9.0
82,4.0
83,-3.0
84,-9.0
85,2.0
86,-2.0
87,7.0
88,-8.0
89,0.0
90,-6.0
91,-6.0
92,0.0
93,-3.0
94,3.0
95,7.0
96,5.0
97,4.0
98,-4.0
99,-2.0
100,-4.0
101,9.0
102,3.0
103,-3.0
104,4.0
105,2.0
106,-2.0
107,3.0
108,5.0
109,6.0
110,-9.0
111,1.0
112,-7.0
113,6.0
114,-4.0
115,3.0
116,-18.0
117,5.0
118,-5.0
119,3.0
120,-7.0
121,-4.0
122,-8.0
123,2.0
124,13.0
125,-5.0
126,-6.0
127,-14.0
128,-9.0
129,-3.0
130,-4.0
131,-10.0
132,11.0
133,-4.0
134,9.0
135,-6.0
136,-12.0
137,9.0
138,7.0
139,0.0
140,9.0
141,5.0
142,-4.0
143,-5.0
144,-3.0
145,-10.0
146,2.0
147,-3.0
148,9.0
149,-6.0
150,2.0
151,-9.0
152,3.0
153,-6.0
154,-1.0
