,0
0,2.0
1,-1.0
2,-2.0
3,-1.0
4,3.0
5,12.0
6,2.0
7,20.0
8,6.0
9,20.0
10,-5.0
11,-4.0
12,-6.0
13,0.0
14,-2.0
15,6.0
16,-1.0
17,-1.0
18,3.0
19,3.0
20,2.0
21,-3.0
22,-5.0
23,3.0
24,-6.0
25,0.0
26,3.0
27,-6.0
28,24.0
29,4.0
30,8.0
31,19.0
32,-7.0
33,4.0
34,-4.0
35,0.0
36,0.0
37,6.0
38,7.0
39,-5.0
40,-6.0
41,0.0
42,-4.0
43,-7.0
44,-4.0
45,6.0
46,28.0
47,7.0
48,-11.0
49,-5.0
50,-2.0
51,0.0
52,4.0
53,4.0
54,-2.0
55,-3.0
56,2.0
57,-3.0
58,-8.0
59,0.0
60,0.0
61,-5.0
62,-8.0
63,6.0
64,3.0
65,4.0
66,-10.0
67,-3.0
68,-1.0
69,-1.0
70,-6.0
71,-10.0
72,-2.0
73,-6.0
74,4.0
75,-7.0
76,-7.0
77,7.0
78,-4.0
79,-14.0
80,-6.0
81,-3.0
82,-5.0
83,-9.0
84,-6.0
85,8.0
86,-4.0
87,-8.0
88,-1.0
89,10.0
90,3.0
91,-1.0
92,-3.0
93,4.0
94,5.0
95,-2.0
96,-4.0
97,-2.0
98,-6.0
99,-2.0
100,0.0
101,8.0
102,3.0
103,2.0
104,-2.0
105,-3.0
106,-2.0
107,3.0
108,-6.0
109,-10.0
110,0.0
111,1.0
112,-8.0
113,-2.0
114,-3.0
115,3.0
116,-10.0
117,-10.0
118,2.0
119,-5.0
120,2.0
121,4.0
122,0.0
123,12.0
124,-2.0
125,10.0
126,1.0
127,-7.0
128,9.0
129,-2.0
130,-1.0
131,17.0
132,-1.0
133,-6.0
134,-21.0
135,-2.0
136,-5.0
137,-1.0
138,-8.0
139,3.0
140,-3.0
141,3.0
142,-2.0
143,14.0
144,2.0
145,9.0
146,-4.0
147,0.0
148,-5.0
149,-5.0
150,-2.0
151,4.0
152,0.0
153,-3.0
154,-3.0
