,ids,ra,dec,z,mergers
0,10101,189.234274,62.192308,1.027541334348651,"[9748, 9844, 9891, 9906, 10198]"
1,12816,189.21949,62.205489,0.3996758708541203,[]
2,15610,189.212722,62.222423,0.23249155040977293,[]
3,17792,189.15642,62.229484,0.718432177379772,[17390]
4,19604,189.171747,62.237983,1.9964307220492465,[]
5,21627,189.219973,62.248233,0.9048006610411016,[]
6,23932,189.243384,62.25935,0.4512296681027588,[]
7,10106,189.253223,62.192536,0.40372826633106695,[]
8,12818,189.256819,62.205888,0.11248551595302615,[13157]
9,15616,189.238403,62.218809,1.2755070600915681,[15638]
10,17799,189.232312,62.230235,0.8058740042267303,[]
11,19614,189.193314,62.238425,0.7293353741798324,[]
12,21632,189.156705,62.248159,5.616683749406488,[]
13,23945,189.229103,62.259007,0.9213992511469318,[23806]
14,10153,189.246534,62.192936,0.2981171411636228,[]
15,12848,189.211622,62.205952,0.49360675090764844,[]
16,15618,189.206998,62.218736,0.9755439661018973,[]
17,17802,189.213294,62.230235,2.7169534803340163,[]
18,19627,189.171524,62.239199,0.49116435890254123,[]
19,21670,189.208552,62.248342,0.8699394849758856,[]
20,23975,189.258964,62.259525,2.7267100600769956,[]
21,10172,189.230321,62.192964,1.1716120457639625,[]
22,12864,189.214298,62.205771,1.041952309570657,[]
23,15627,189.170113,62.219221,0.4506023526302813,[15511]
24,17822,189.217577,62.230037,0.5320423882178125,[17986]
25,19651,189.220356,62.24559,0.31333212890433104,[20705]
26,21693,189.232524,62.248474,0.30206628021507875,[21582]
27,23978,189.205849,62.259846,0.34904233931033474,[23875]
28,10202,189.253688,62.19259,2.0567353722751838,[10235]
29,12870,189.22893,62.205943,1.777580894117533,"[12642, 12727]"
30,15702,189.204301,62.21939,0.9820414898609965,[]
31,17829,189.15264,62.229668,0.8766967959663807,"[17477, 17805, 17943]"
32,19662,189.241746,62.238286,1.1685400010606133,[]
33,21703,189.156553,62.249035,1.028004191022519,[]
34,23984,189.267346,62.259894,2.194386257226132,[]
35,10205,189.256125,62.193225,0.47618619672012824,[]
36,12880,189.248031,62.2059,0.6524023293786985,[]
37,15721,189.190093,62.21913,0.43857621186985957,[]
38,17861,189.185503,62.229847,1.339104872234734,[]
39,19670,189.248694,62.238837,0.4197271089422575,[]
40,21706,189.220592,62.248367,0.07198576886995271,"[20399, 21740]"
41,24004,189.227539,62.260086,0.8197958013698924,[23945]
42,10209,189.212502,62.192835,0.5518926576601059,[]
43,12918,189.247419,62.206045,0.44445312195015024,[]
44,15730,189.22986,62.219176,1.388393598974394,[]
45,17862,189.173386,62.230408,3.266188994260233,[]
46,19708,189.209787,62.238532,0.8439378806595497,[19453]
47,21717,189.17474,62.249072,0.8003311649923157,[]
48,24005,189.207054,62.259522,0.24396791734977838,[]
49,10219,189.237188,62.192798,2.149075369551856,[]
50,12923,189.222553,62.206041,1.7619812656487686,"[12728, 12865, 13080, 13100]"
51,15744,189.175479,62.219482,0.8395560579101211,[]
52,17886,189.178181,62.230621,1.767479495377231,[18113]
53,19711,189.200989,62.238464,2.056750577613191,[19591]
54,21720,189.206135,62.249047,1.0117723660434674,[21406]
55,24014,189.232803,62.259491,0.8494968105432162,"[24012, 24038]"
56,10284,189.23954,62.193114,1.0329215044001654,[]
57,12927,189.221902,62.206335,0.7521121753330945,[]
58,15783,189.249656,62.220144,0.5352762671567948,[]
59,17891,189.2628,62.230605,0.8541929024772904,[]
60,19747,189.218283,62.239181,1.6351786849807872,[19472]
