,ids,ra,dec,z,mergers
0,41965,53.141417,-27.714113,1.4745121781663921,"[41861, 41865]"
1,42185,53.138362,-27.705886,3.0938071062558996,[]
2,42471,53.122445,-27.712005,1.534825423762918,[42706]
3,42472,53.122068,-27.712458,1.0481331232282038,[42323]
4,42504,53.123503,-27.711823,0.664418132035353,"[42074, 42244, 42610]"
5,42520,53.126369,-27.711246,1.7004131367889603,"[42424, 42615, 42642, 42652, 42711]"
6,42576,53.125352,-27.711913,1.9491264590306387,"[42457, 42498]"
7,42610,53.121846,-27.711214,0.7529774567150576,[]
8,42652,53.126815,-27.711208,1.6091815087618238,"[42332, 42424, 42520, 42615, 42642, 42711]"
9,42706,53.122824,-27.711195,1.6368508566362983,[42471]
10,42711,53.126478,-27.710848,1.6153979581238866,"[42424, 42520, 42615, 42642, 42652]"
11,42762,53.120572,-27.710841,1.8805777602115337,"[42815, 42907]"
12,42788,53.143497,-27.710568,0.41878536475743966,[]
13,42820,53.142135,-27.711249,1.763428189218327,[]
14,42822,53.141234,-27.710542,0.6314602626726217,[]
15,42915,53.138677,-27.709999,1.330213516203936,[42645]
16,42956,53.129288,-27.710163,0.4191200153449712,[]
17,42981,53.131458,-27.709355,0.8524959729499493,"[42786, 42995, 43048]"
18,43018,53.127035,-27.709548,0.749438341446469,[43077]
19,43028,53.13053,-27.70957,1.6700464238494708,[]
20,43048,53.131798,-27.709743,0.8045889634711566,"[42786, 42981]"
21,43071,53.122589,-27.707908,0.17299045034093097,[]
22,43126,53.14263,-27.708707,0.6183376486188313,[]
23,43144,53.143376,-27.70893,1.6509664527342756,[42920]
24,43262,53.133931,-27.709016,1.1743250632794227,[]
25,43264,53.135733,-27.708434,1.6382193259113942,"[43054, 43111]"
26,43266,53.142836,-27.706936,1.113111625619097,[43762]
27,43283,53.1355,-27.708069,1.2638419286071207,[]
28,43342,53.144194,-27.706711,0.4484551354953572,[43405]
29,43352,53.129559,-27.707407,1.460981363620352,"[43417, 43420, 43460, 43495, 43596]"
30,43356,53.139191,-27.708473,0.4638778819515572,[]
31,43401,53.139903,-27.704769,0.6314600823700705,[]
32,43417,53.130644,-27.707884,1.5838325027407323,"[43352, 43420, 43460, 43548]"
